Date,Name,Year,Letterboxd URI,Rating
2021-02-14,The Quiet,2019,https://boxd.it/qBzo,3.5
2021-02-16,Beyond The Sky,2018,https://boxd.it/hbDw,2
2021-02-17,Gabby!,2020,https://boxd.it/qncK,4
2021-02-17,Blocks,2020,https://boxd.it/olEI,3.5
2021-02-17,Dig Another Grave,2019,https://boxd.it/lRcg,3
2021-02-17,Anna,2019,https://boxd.it/lYvY,3.5
2021-02-17,Eucharist,2020,https://boxd.it/sCBY,3.5
2021-02-17,Minari,2020,https://boxd.it/mL9M,4.5
2021-02-18,Alina,2019,https://boxd.it/rTeg,5
2021-02-18,"Gon, the Little Fox",2019,https://boxd.it/olAc,5
2021-02-19,Night Drive,2019,https://boxd.it/nmtu,2.5
2021-02-19,How to Stop a Recurring Dream,2021,https://boxd.it/sW3s,4
2021-02-19,The Haunted Swordsman,2019,https://boxd.it/nt9Q,3.5
2021-02-19,Moon Drops,2018,https://boxd.it/mxk2,3.5
2021-02-19,Medicating Normal,2020,https://boxd.it/pnWw,2.5
2021-02-19,Gone,2020,https://boxd.it/sMKw,4
2021-02-20,Mean Girls,2004,https://boxd.it/1VNg,4
2021-02-20,Signs,2002,https://boxd.it/26t2,4
2021-02-23,Lady Macbeth,2016,https://boxd.it/erJk,5
2021-02-24,Nomadland,2020,https://boxd.it/lnRy,4
2021-02-24,Kirikou and the Sorceress,1998,https://boxd.it/1C3y,4.5
2021-02-25,Come to Daddy,2019,https://boxd.it/lAqK,4
2021-02-25,The Mandela Effect,2019,https://boxd.it/hGGQ,3.5
2021-02-26,Snakes on a Plane,2006,https://boxd.it/2aAw,2
2021-02-26,Judas and the Black Messiah,2021,https://boxd.it/lsew,3.5
2021-03-01,The Alchemist Cookbook,2016,https://boxd.it/dg9S,3.5
2021-03-01,WandaVision,2021,https://boxd.it/sbGW,4.5
2021-03-02,Captain Marvel,2019,https://boxd.it/9vSA,3
2021-03-02,Dredd,2012,https://boxd.it/GZE,3.5
2021-03-03,Caronte,2017,https://boxd.it/in8i,3.5
2021-03-03,McPherson's Toys,2019,https://boxd.it/tWHY,2
2021-03-03,After Her,2018,https://boxd.it/i4NG,2
2021-03-03,Watch Room,2019,https://boxd.it/mB9M,4
2021-03-03,SophiaWorld,2019,https://boxd.it/nk8u,3.5
2021-03-03,World Builder,2007,https://boxd.it/wYc,3
2021-03-03,Regulation,2019,https://boxd.it/oyvu,3.5
2021-03-03,Quantum Love,2017,https://boxd.it/tWIi,2
